id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,Z16,Canada's Survey Program,Programme d'arpentage du Canada,Client Support Atlantic Region - East,Soutien à la clientèle Région de l'Atlantique - Est,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z17,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services Supporting the Aboriginal and National Heritage Program in Quebec - East,Services géomatiques comme support au programme autochtone et du patrimoine national au Québec - Est,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z18,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services to Support Aboriginal and Heritage Programs in Ontario - East,Services de géomatique à l'appui des programmes pour les Autochtones et le patrimoine en Ontario - Est,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z19,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services to Support Aboriginal and Heritage Programs in Manitoba - West,Services de géomatique à l'appui des programmes pour les Autochtones et le patrimoine au Manitoba - Ouest,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z20,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services to Support Aboriginal and Heritage Programs in Saskatchewan - West,Services de géomatique à l'appui des programmes pour les Autochtones et le patrimoine en Saskatchewan - Ouest,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z21,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services to Support Aboriginal and Heritage Programs in Alberta - West,Services de géomatique à l'appui des programmes relatifs au patrimoine et aux Autochtones en Alberta - Ouest,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z22,Canada's Survey Program,Programme d'arpentage du Canada,Geomatics Services to Support Aboriginal and Heritage Programs in British Columbia - West,Services de géomatique à l'appui des programmes relatifs au patrimoine et aux Autochtones en Colombie-Britannique - Ouest,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands -surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-t erres-canada/programmes-federaux/programme-arpentage/10852
+,123456789s/21,Sponsor,Z60,International Capacity Building and Trade and Investment (Program),Renforcement des capacités internationales et commerce et investissement (Programme),International Project Management,Gestion de projet internationale,http://ess.nrcan.gc.ca/pri/eo_e.php#ic,http://ess.nrcan.gc.ca/pri/eo_f.php#ic
+,123456789s/21,Sponsor,Z62,International Capacity Building and Trade and Investment (Program),Renforcement des capacités internationales et commerce et investissement (Programme),Geoscience for Andean Communities,Géosciences pour les communautés andines,http://ess.nrcan.gc.ca/pri/eo_e.php#ic,http://ess.nrcan.gc.ca/pri/eo_f.php#ic
+,123456789s/21,Sponsor,Z65,International Capacity Building and Trade and Investment (Program),Renforcement des capacités internationales et commerce et investissement (Programme),ESS-China Hydrocarbon Geoscience Collaboration,Collaboration SST-Chine en géosciences des hydrocarbures,http://ess.nrcan.gc.ca/pri/eo_e.php#ic,http://ess.nrcan.gc.ca/pri/eo_f.php#ic
+,123456789s/21,Sponsor,Z75,Delineating Canada's Continental Shelf Under UNCLOS,Délimitation du plateau continental du Canada en vertu de la Convention des Nations Unies sur le droit de la mer (UNCLOS),Preparation of a submission for an extended continental shelf in the Atlantic and Arctic Oceans under UNCLOS,Préparation d'une soumission pour un plateau continental élargi dans les océans Atlantique et Arctique sur le droit de la mer (UNCLOS),,
