id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,GKM008,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,GEM Tri-Territorial information management & databases (Tri-Territorial Indicator Minerals Framework),Bases de données couvrant les trois territoires (minéraux indicateurs),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,HY4001,Gas Hydrates,Hydrates de gaz,Gas Hydrates Management,Gestion des Hydrates de gaz,,
+,123456789s/21,Sponsor,HY4003,Gas Hydrates,Hydrates de gaz,Gas Hydrate Production,Production des Hydrates de gaz,,
+,123456789s/21,Sponsor,HY4004,Gas Hydrates,Hydrates de gaz,Gas Hydrate Characterization,Caractérisation des Hydrates de gaz,,
+,123456789s/21,Sponsor,HY4005,Gas Hydrates,Hydrates de gaz,Geohazards and Environmental Issues Related to Gas Hydrate Production,Géorisques et problèmes environnementaux liés à la production d'hydrate de gaz,,
+,123456789s/21,Sponsor,HY4007,Gas Hydrates,Hydrates de gaz,Gas Hydrate Assessment,Évaluation des Hydrates de gaz,,
+,123456789s/21,Sponsor,LUC001,Remote Sensing Science,Science de la télédétection spatiale,Program Leadership,Direction du programme,,
+,123456789s/21,Sponsor,LUC002,Remote Sensing Science,Science de la télédétection spatiale,NEODF,NEODF,,
+,123456789s/21,Sponsor,LUC003,Remote Sensing Science,Science de la télédétection spatiale,Methodology,Méthodologie,,
+,123456789s/21,Sponsor,LUC004,Remote Sensing Science,Science de la télédétection spatiale,Information Extraction Procedures for Landmass Monitoring,Procédures d'extraction d'informations pour la surveillance de la masse continentale,,
+,123456789s/21,Sponsor,LUC005,Remote Sensing Science,Science de la télédétection spatiale,Land Surface Characterization,Caractérisation de la surface terrestre,,
+,123456789s/21,Sponsor,LUC006,Remote Sensing Science,Science de la télédétection spatiale,Emergency Management,Gestion des urgences,,
+,123456789s/21,Sponsor,MGM001,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Geomapping for Energy and Minerals (GEM) - Minerals Component,GEM : La géocartographie de l'énergie et des minéraux - la composante GEM minéraux,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM002,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Diamonds,Diamants,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM003,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Gold - Baker Lake / Chesterfield Inlet / Wager Bay,Or - Baker Lake / Chesterfield Inlet / Wager Bay,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM004,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,PGE/Base Metals - Victoria Island (NWT and Nunavut),Métaux communs - Île Victoria (T.N-O. et Nunavut),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM005,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Base Metals - South central Yukon (Selwyn Basin),"Métaux communs - La région de Coal River, Yukon (bassin de Selwyn)",http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM006,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,"Multiple Metals - NW Canadian Cordillera (Yukon, B.C.)",Gisements polymétalliques - nord-ouest de la Cordillère canadienne (Yukon et Colombie-Britannique),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM007,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,"Multiple Metals - Cumberland Peninsula (Baffin Island, Nunavut)","Gisements polymétalliques - Péninsule Cumberland (île de Baffin, Nunavut)",http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM008,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Multiple Metals - Melville Peninsula (Nunavut),Gisements polymétalliques - Presqu'île Melville (Nunavut),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM009,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Multiple Metals - North East Manitoba,Gisements polymétalliques - nord-est du Manitoba,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM010,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Iron-oxide Copper-gold (IOCG) / Multiple Metals - Great Bear Lake (NWT),Gisements polymétalliques - Zone magmatique du Grand lac de l'Ours (T.N-O.),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MGM011,GEM: Geo-mapping for Energy and Minerals,GEM : La géocartographie de l'énergie et des minéraux,Multiple Metals - Schefferville (Quebec / Newfoundland / Labrador),Gisements polymétalliques - Schefferville (Québec et Terre-Neuve),http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geomapping-energy-minerals/10904,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geocartographie-energie-mineraux/10905
+,123456789s/21,Sponsor,MR4100,Mineral and Energy Resource Assessment (MERA),Environnement et ressources minérales et énergétiques (ERME),Geoscience Expertise in Support of Federal Environmental Assessments,Expertise géoscientifique à l'appui des évaluations environnementales fédérales,http://www.nrcan.gc.ca/minerals-metals/policy /government-canada/3153,http://www.rncan.gc.ca/mineraux-metaux/politique /gouvernement-canada/4242
+,123456789s/21,Sponsor,MR4200,Mineral and Energy Resource Assessment (MERA),Environnement et ressources minérales et énergétiques (ERME),,,http://www.nrcan.gc.ca/minerals-metals/policy /government-canada/3153,http://www.rncan.gc.ca/mineraux-metaux/politique /gouvernement-canada/4242
+,123456789s/21,Sponsor,MV7373,Environmental Geoscience,Géosciences environnementales,Northern Pipelines,pipeline nordiques,,
+,123456789s/21,Sponsor,N01,Topographic Mapping,Cartographie topographique,Topographic Mapping - Management and Support,Cartographie topographique - gestion et support,,
+,123456789s/21,Sponsor,N02A,Topographic Mapping,Cartographie topographique,Topographic Production,Production topographique,,
+,123456789s/21,Sponsor,N03,Topographic Mapping,Cartographie topographique,Data Modelling - Web Service Applications,Modélisation des données - Applications de service Web,,
