id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Hope Island,Île au Géant,geo names db
+,123456789s/18,Area,Humber River,Rivière Humber,geo names db
+,123456789s/18,Area,Iron Island,Île de Fer,geo names db
+,123456789s/18,Area,Jessie Creek,Rivière Jessie,geo names db
+,123456789s/18,Area,Johnson's Lake,Lac Johnson's,geo names db
+,123456789s/18,Area,Kapuskasing River,Rivière de Kapuskasing,geo names db
+,123456789s/18,Area,Killarney Lake,Lac des Morts,geo names db
+,123456789s/18,Area,Kilpatrick Lake,Lac Kilpatrick,geo names db
+,123456789s/18,Area,La Chapelle Lake,Lac La Chapelle,geo names db
+,123456789s/18,Area,Le Blanc Lake,Lac Le Blanc,geo names db
+,123456789s/18,Area,Lemieux Island,Île Lemieux,geo names db
+,123456789s/18,Area,Lemieux Lake,Lac Lemieux,geo names db
+,123456789s/18,Area,Le Moyne Lake,Lac LeMoyne,geo names db
+,123456789s/18,Area,Little Clear Lake,Lac Clair,geo names db
+,123456789s/18,Area,Little French Rapids,Petite rivière French,geo names db
+,123456789s/18,Area,Little Twin Lakes,Petits lacs Cachés,geo names db
+,123456789s/18,Area,Canadian Forces Base Kingston,Base des Forces canadiennes Kingston,geo names db
+,123456789s/18,Area,Lloyd Lake,Lac Booth,geo names db
+,123456789s/18,Area,Loren Lake,Lac Noir,geo names db
+,123456789s/18,Area,Magpie River,Rivière Magpie,geo names db
+,123456789s/18,Area,Maskinonge Lake,Lac Maskinong,geo names db
+,123456789s/18,Area,Mattagami River,Rivière Mattagami,geo names db
+,123456789s/18,Area,Mattawa River,Rivière Mattawa,geo names db
+,123456789s/18,Area,Mauvaise Musique Rapids,Portage de la Musique,geo names db
+,123456789s/18,Area,The Mountain,La Montagne,geo names db
+,123456789s/18,Area,Murdock River,Rivière Murdock,geo names db
+,123456789s/18,Area,Murray Lake,Lac Murray,geo names db
+,123456789s/18,Area,Lake Nosbonsing,Lac Nosbonsing,geo names db
+,123456789s/18,Area,Obijou River,Rivière de Coppell,geo names db
+,123456789s/18,Area,Pascal Lake,Lac Pascal,geo names db
+,123456789s/18,Area,Payne River,Rivière Payne,geo names db
+,123456789s/18,Area,Poplar Rapids River,Rivière Poplar,geo names db
+,123456789s/18,Area,Puce River,Rivière aux Puces,geo names db
+,123456789s/18,Area,Ramsey Lake,Lac Ramsey,geo names db
+,123456789s/18,Area,Recollet Falls,Chute du Rcollet,geo names db
+,123456789s/18,Area,Red Cedar Lake,Lac des Cèdres,geo names db
+,123456789s/18,Area,Red Deer Lake,Lac Red Deer,geo names db
+,123456789s/18,Area,Redsucker River,Rivière Redsucker,geo names db
+,123456789s/18,Area,Remi Lake,Lac Rémi,geo names db
+,123456789s/18,Area,Rideau Falls,Chutes Rideau,geo names db
+,123456789s/18,Area,Rideau River,Rivière Rideau,geo names db
+,123456789s/18,Area,Rouge River,Rivière Rouge,geo names db
+,123456789s/18,Area,Ruscom River,Rivière Ruscom,geo names db
+,123456789s/18,Area,Saganash River,Rivière Saganash,geo names db
+,123456789s/18,Area,Rempnouix Island,Île Rempnouix,geo names db
+,123456789s/18,Area,Shields Bay,Baie Shields,geo names db
+,123456789s/18,Area,South Nation River,Rivière Nation,geo names db
+,123456789s/18,Area,Sparks Lake,Gros lac Martin,geo names db
+,123456789s/18,Area,Sturgeon Bay,Baie des Esturgeons,geo names db
+,123456789s/18,Area,Lake Talon,Lac Talon,geo names db
+,123456789s/18,Area,Temagami River,Rivière Témagami,geo names db
+,123456789s/18,Area,Terrien Lake,Lac Terrien,geo names db
+,123456789s/18,Area,Thames River,Rivière Thames,geo names db
+,123456789s/18,Area,Theriault Lake,Lac Thériault,geo names db
+,123456789s/18,Area,Thistle Lake,Lac des Îles,geo names db
+,123456789s/18,Area,Thunder Bay,Baie du Tonnerre,geo names db
+,123456789s/18,Area,Thunder Beach,Baie-du-Tonnerre,geo names db
+,123456789s/18,Area,Julian Creek,Ruisseau Julian,geo names db
+,123456789s/18,Area,Gatineau Park,Parc de la Gatineau,geo names db
+,123456789s/18,Area,Tomiko River,Rivière Tomiko,geo names db
+,123456789s/18,Area,Toronto Islands,Îles de Toronto,geo names db
+,123456789s/18,Area,Tripoli Creek,Crique Tripoli,geo names db
+,123456789s/18,Area,Trout Lake,Lac à la Truite,geo names db
+,123456789s/18,Area,Fort St. Joseph National Historic Site of Canada,Lieu historique national du Canada du Fort-St. Joseph,geo names db
+,123456789s/18,Area,Turtle Lake,Lac Tortue,geo names db
+,123456789s/18,Area,Turtle Lake,Lac Tortue,geo names db
+,123456789s/18,Area,Vermilion River,Rivière Vermillion,geo names db
+,123456789s/18,Area,Veuve River,Rivière Veuve,geo names db
+,123456789s/18,Area,Wabbler Lake,Lac Lachapelle,geo names db
+,123456789s/18,Area,Wabi Creek,Rivière Wabi,geo names db
+,123456789s/18,Area,Wanapitei Lake,Lac Wanapitei,geo names db
+,123456789s/18,Area,Wanapitei River,Rivière Wanapitei,geo names db
+,123456789s/18,Area,Washagami Lake,Lac Washagami,geo names db
+,123456789s/18,Area,Wasi Lake,Lac Wasi,geo names db
+,123456789s/18,Area,Wasi River,Rivière Wasi,geo names db
+,123456789s/18,Area,Watabeag River,Rivière Watabeag,geo names db
+,123456789s/18,Area,Canadian Forces Base Suffield National Wildlife Area,Réserve nationale de faune de la Base des Forces canadiennes Suffield,geo names db
+,123456789s/18,Area,River Canard,Rivière-aux-Canards,geo names db
+,123456789s/18,Area,Wawagoshe Lake,Lac Wawagoshe,geo names db
+,123456789s/18,Area,Wawa Lake,Lac Wawa,geo names db
+,123456789s/18,Area,Welland Canal,Canal Welland,geo names db
+,123456789s/18,Area,Welland River,Rivière Welland,geo names db
+,123456789s/18,Area,Westover Lake,Lac Westover,geo names db
+,123456789s/18,Area,Whitson River,Rivière de Whitson,geo names db
+,123456789s/18,Area,Windermere River,Rivière Windermere,geo names db
+,123456789s/18,Area,LeBreton Flats,Plaines LeBreton,geo names db
+,123456789s/18,Area,North River,Rivière du Nord,geo names db
+,123456789s/18,Area,Nisutlin River Delta National Wildlife Area,Réserve nationale de faune du delta de la rivière Nisutlin,geo names db
+,123456789s/18,Area,Manitou Islands,Îles Manitou,geo names db
+,123456789s/18,Area,Boishebert National Historic Site of Canada,Lieu historique national du Canada Boishebert,geo names db
+,123456789s/18,Area,British Columbia,Colombie-Britannique,geo names db
+,123456789s/18,Area,Penetang Harbour,Baie de Penetang,geo names db
+,123456789s/18,Area,Kelso Island,Île Kelso,geo names db
+,123456789s/18,Area,Nadeau Lake,Lac Nadeau,geo names db
+,123456789s/18,Area,Perron Lake,Lac Perron,geo names db
+,123456789s/18,Area,Nemegosenda River,Rivière Nemegosenda,geo names db
+,123456789s/18,Area,Marjorie Lake,Lac Marjorie,geo names db
+,123456789s/18,Area,Nepean Point,Pointe Nepean,geo names db
+,123456789s/18,Area,Nepewassi Lake,Lac Nepewassi,geo names db
+,123456789s/18,Area,Niagara River,Rivière Niagara,geo names db
+,123456789s/18,Area,Nipigon River,Rivière Nipigon,geo names db
+,123456789s/18,Area,Pine Island,Île Pine,geo names db
+,123456789s/18,Area,St. Marys River,Rivière Ste-Marie,geo names db
+,123456789s/18,Area,St. Paul Lake,Lac St-Paul,geo names db
+,123456789s/18,Area,Scotch River,Rivière Scotch,geo names db
+,123456789s/18,Area,Serviss Lake,Lac Serviss,geo names db
+,123456789s/18,Area,Opasatika River,Rivière Opasatika,geo names db
+,123456789s/18,Area,Sheedy Lake,Lac des Rapides Rouges,geo names db
+,123456789s/18,Area,Sandy Bay,Baie de Sable,geo names db
+,123456789s/18,Area,Sandy Falls,Chutes Sandy,geo names db
+,123456789s/18,Area,Mishewawa Lake,Lac Mishewawa,geo names db
+,123456789s/18,Area,Missinaibi River,Rivière Missinaibi,geo names db
+,123456789s/18,Area,Sargesson Lake,Lac Sargesson,geo names db
+,123456789s/18,Area,Sausage Lake,Lac Saucisse,geo names db
+,123456789s/18,Area,Charlebois Lake,Lac Charlebois,geo names db
+,123456789s/18,Area,Midland Bay,Baie de Midland,geo names db
+,123456789s/18,Area,Menard Lake,Lac Ménard,geo names db
+,123456789s/18,Area,Meshaw Falls,Chutes de Meshaw,geo names db
+,123456789s/18,Area,Methodist Point,Pointe Méthodiste,geo names db
+,123456789s/18,Area,Ste-Anne-de-Prescott,Ste-Anne,geo names db
+,123456789s/18,Area,Ste-Rose-de-Prescott,Ste-Rose,geo names db
+,123456789s/18,Area,Mistango River,Rivière Mistango,geo names db
+,123456789s/18,Area,St. Clair River,Rivière Sainte-Claire,geo names db
+,123456789s/18,Area,Burnt Lake,Lac Brûlé,geo names db
+,123456789s/18,Area,Pine Lake,Lac des Pins,geo names db
+,123456789s/18,Area,Mount McKay Range,Champ de tir Mount McKay,geo names db
+,123456789s/18,Area,Peche Island,île aux Pêches,geo names db
+,123456789s/18,Area,Bois Blanc Island,Île aux Bois Blancs,geo names db
+,123456789s/18,Area,Chaput's Island,île à Chaput,geo names db
+,123456789s/18,Area,Lost Lake,Lac Caché,geo names db
+,123456789s/18,Area,Fisher's Rock,Céte Lemieux,geo names db
+,123456789s/18,Area,Ritchie Lake,Lac Ritchie,geo names db
+,123456789s/18,Area,Gillies Lake,Lac Gillies,geo names db
+,123456789s/18,Area,La Salle River,Rivière Sale,geo names db
+,123456789s/18,Area,Canadian Forces Base Chilliwack,Base des Forces canadiennes Chilliwack,geo names db
+,123456789s/18,Area,Canadian Forces Camp Vernon,Camp des Forces canadiennes Vernon,geo names db
+,123456789s/18,Area,North Saskatchewan River,Rivière Saskatchewan Nord,geo names db
+,123456789s/18,Area,Anticosti Island,Île d'Anticosti,geo names db
+,123456789s/18,Area,Ipperwash Range and Training Area,Champ de tir et champ de manoeuvre Ipperwash,geo names db
+,123456789s/18,Area,Forillon National Park of Canada,Parc national du Canada Forillon,geo names db
+,123456789s/18,Area,Sandy Hill,Côte-de-Sable,geo names db
+,123456789s/18,Area,St. Lawrence River,Fleuve Saint-Laurent,geo names db
+,123456789s/18,Area,Meaford Range and Training Area,Champ de tir et champ de manoeuvre Meaford,geo names db
+,123456789s/18,Area,Lac John Reserve,Réserve du Lac John,geo names db
+,123456789s/18,Area,Walling Island,Île Walling,geo names db
+,123456789s/18,Area,Fort Wellington National Historic Site of Canada,Lieu historique national du Canada du Fort-Wellington,geo names db
+,123456789s/18,Area,East Rigaud River,Rivière Rigaud Est,geo names db
+,123456789s/18,Area,Cabot Strait,Détroit de Cabot,geo names db
+,123456789s/18,Area,Sable Island National Park Reserve of Canada,Réserve de parc national du Canada de l'île-de-Sable,geo names db
+,123456789s/18,Area,Saguenay River,Rivière Saguenay,geo names db
+,123456789s/18,Area,Akwesasne Reserve 15,Réserve Akwesasne 15,geo names db
+,123456789s/18,Area,Canadian Forces Station Flin Flon,Station des Forces canadiennes Flin Flon,geo names db
+,123456789s/18,Area,Burdick Range,Champ de tir Burdick,geo names db
+,123456789s/18,Area,Prince Albert Range,Champ de tir Prince Albert,geo names db
+,123456789s/18,Area,Grasslands National Park of Canada,Parc national du Canada des Prairies,geo names db
+,123456789s/18,Area,Prince Albert National Park of Canada,Parc national du Canada de Prince Albert,geo names db
+,123456789s/18,Area,Joggins Fossil Cliffs,Falaises fossilifères de Joggins,geo names db
+,123456789s/18,Area,Batoche National Historic Site of Canada,Lieu historique national du Canada de Batoche,geo names db
+,123456789s/18,Area,Battle of Fish Creek National Historic Site of Canada,Lieu historique national du Canada de la Bataille-de-Fish Creek,geo names db
+,123456789s/18,Area,Fort Battleford National Historic Site of Canada,Lieu historique national du Canada du Fort-Battleford,geo names db
+,123456789s/18,Area,Fort Espérance National Historic Site of Canada,Lieu historique national du Canada du Fort-Esprance,geo names db
+,123456789s/18,Area,Fort Livingstone National Historic Site of Canada,Lieu historique national du Canada du Fort-Livingstone,geo names db
+,123456789s/18,Area,Fort Pelly National Historic Site of Canada,Lieu historique national du Canada du Fort-Pelly,geo names db
+,123456789s/18,Area,Fort Walsh National Historic Site of Canada,Lieu historique national du Canada du Fort-Walsh,geo names db
+,123456789s/18,Area,Frenchman Butte National Historic Site of Canada,Lieu historique national du Canada de Frenchman Butte,geo names db
+,123456789s/18,Area,Motherwell Homestead National Historic Site of Canada,Lieu historique national du Canada du Homestead-Motherwell,geo names db
+,123456789s/18,Area,Canadian Forces Base Cold Lake,Base des Forces canadiennes Cold Lake,geo names db
+,123456789s/18,Area,Wainwright Regional Training Area,Champ de manoeuvre régional Wainwright,geo names db
+,123456789s/18,Area,North Branch Kedgwick River,Rivière Kedgwick,geo names db
+,123456789s/18,Area,Canadian Forces Base Suffield,Base des Forces canadiennes Suffield,geo names db
+,123456789s/18,Area,Rocky Mountains,Montagnes Rocheuses,geo names db
+,123456789s/18,Area,Heals Range,Champ de tir Heals,geo names db
+,123456789s/18,Area,Canadian Forces Camp Nanaimo,Camp des Forces canadiennes Nanaimo,geo names db
+,123456789s/18,Area,Vernon Range and Training Area,Champ de tir et champ de manoeuvre Vernon,geo names db
+,123456789s/18,Area,Churchill River,Fleuve Churchill,geo names db
+,123456789s/18,Area,Canadian Forces Camp Chilcotin,Camp des Forces canadiennes Chilcotin,geo names db
+,123456789s/18,Area,Salmon Arm Range,Champ de tir Salmon Arm,geo names db
+,123456789s/18,Area,Canadian Forces Base North Bay,Base des Forces canadiennes North Bay,geo names db
+,123456789s/18,Area,Saanich Inlet Range,Champ de tir Anse de Saanich,geo names db
+,123456789s/18,Area,Haro Strait Range,Champ de tir Détroit de Haro,geo names db
+,123456789s/18,Area,Mary Hill Training Area,Champ de manoeuvre Mary Hill,geo names db
+,123456789s/18,Area,Rocky Point Training Area,Champ de manoeuvre Rocky Point,geo names db
+,123456789s/18,Area,Bentinck Island Range,Champ de tir île de Bentinck,geo names db
+,123456789s/18,Area,Albert Head Battery Point Training Area,Champ de manoeuvre Albert Head Battery Point,geo names db
+,123456789s/18,Area,La Mauricie National Park of Canada,Parc national du Canada de la Mauricie,geo names db
+,123456789s/18,Area,Kluane/Wrangell-St.Elias/Glacier Bay/Tatshenshini-Alsek,Site du patrimoine mondial Kluane/Wrangell-St.Elias/Glacier Bay/Tatshenshini-Alsek,geo names db
+,123456789s/18,Area,Canadian Rocky Mountain Parks,Parcs des montagnes Rocheuses canadiennes,geo names db
+,123456789s/18,Area,Kenosha Island,île Kénosha,geo names db
+,123456789s/18,Area,Lake Timiskaming,Lac Témiscamingue,geo names db
+,123456789s/18,Area,Nirjutiqavvik National Wildlife Area,Réserve nationale de faune de Nirjutiqavvik,geo names db
+,123456789s/18,Area,Glengarry Cairn National Historic Site of Canada,Lieu historique national du Canada du Cairn-de-Glengarry,geo names db
+,123456789s/18,Area,Gwaii Haanas National Park Reserve and Haida Heritage Site,Réserve de parc national et site du patrimoine haida Gwaii Haanas,geo names db
+,123456789s/18,Area,Glacier National Park of Canada,Parc national du Canada des Glaciers,geo names db
+,123456789s/18,Area,Kootenay National Park of Canada,Parc national du Canada Kootenay,geo names db
+,123456789s/18,Area,Mount Revelstoke National Park of Canada,Parc national du Canada du Mont-Revelstoke,geo names db
+,123456789s/18,Area,Pacific Rim National Park Reserve of Canada,Réserve de parc national du Canada Pacific Rim,geo names db
+,123456789s/18,Area,Loon Island,île Loon,geo names db
+,123456789s/18,Area,Yoho National Park of Canada,Parc national du Canada Yoho,geo names db
+,123456789s/18,Area,Chilkoot Trail National Historic Site of Canada,Lieu historique national du Canada de la Piste-Chilkoot,geo names db
+,123456789s/18,Area,Fisgard Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-Fisgard,geo names db
+,123456789s/18,Area,Fort Langley National Historic Site of Canada,Lieu historique national du Canada du Fort-Langley,geo names db
+,123456789s/18,Area,Fort Rodd Hill National Historic Site of Canada,Lieu historique national du Canada du Fort Rodd Hill,geo names db
+,123456789s/18,Area,Fort St. James National Historic Site of Canada,Lieu historique national du Canada du Fort-St. James,geo names db
+,123456789s/18,Area,Rimouski River,Rivière Rimouski,geo names db
+,123456789s/18,Area,Gulf of Georgia Cannery National Historic Site of Canada,Lieu historique national du Canada Gulf of Georgia Cannery,geo names db
+,123456789s/18,Area,Kicking Horse Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Kicking Horse,geo names db
+,123456789s/18,Area,Gitwangak Battle Hill National Historic Site of Canada,Lieu historique national du Canada de la Colline-Battle Hill-des-Gitwangaks,geo names db
+,123456789s/18,Area,Rogers Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Rogers,geo names db
+,123456789s/18,Area,Stanley Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Stanley,geo names db
+,123456789s/18,Area,Twin Falls Tea House National Historic Site of Canada,Lieu historique national du Canada du Salon-de-Thé-des-Chutes-Twin,geo names db
+,123456789s/18,Area,Nan Sdins National Historic Site of Canada,Lieu historique national du Canada de Nan Sdins,geo names db
+,123456789s/18,Area,Brouse's Island,Île de Brouse,geo names db
+,123456789s/18,Area,Mingan Archipelago National Park Reserve of Canada,Réserve de parc national du Canada de l'Archipel-de-Mingan,geo names db
+,123456789s/18,Area,Beaufort Sea,Mer de Beaufort,geo names db
+,123456789s/18,Area,Inverarden House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Inverarden,geo names db
+,123456789s/18,Area,Appalachian Mountains,Les Appalaches,geo names db
+,123456789s/18,Area,Churchill River,Rivière Churchill,geo names db
+,123456789s/18,Area,Hog Island,Île Hog,geo names db
+,123456789s/18,Area,Labyrinth Lake,Lac Labyrinthe,geo names db
+,123456789s/18,Area,Lac du Rocher-Fendu,Lac du Rocher Fendu,geo names db
+,123456789s/18,Area,Canadian Forces Station St. John's,Station des Forces canadiennes St. John's,geo names db
+,123456789s/18,Area,Canadian Forces Base Goose Bay,Base des Forces canadiennes Goose Bay,geo names db
+,123456789s/18,Area,Anse aux Meadows National Historic Site,Lieu historique national de L'Anse aux Meadows,geo names db
+,123456789s/18,Area,Battle of the Chteauguay National Historic Site of Canada,Lieu historique national du Canada de la Bataille-de-la-Chteauguay,geo names db
+,123456789s/18,Area,Newfoundland and Labrador,Terre-Neuve-et-Labrador,geo names db
+,123456789s/18,Area,Gros Morne National Park,Parc national du Gros-Morne,geo names db
+,123456789s/18,Area,Terra Nova National Park of Canada,Parc national du Canada Terra-Nova,geo names db
+,123456789s/18,Area,Cape Spear National Historic Site of Canada,Lieu historique national du Canada du Cap-Spear,geo names db
+,123456789s/18,Area,Castle Hill National Historic Site of Canada,Lieu historique national du Canada de Castle Hill,geo names db
+,123456789s/18,Area,Laurier House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Laurier,geo names db
+,123456789s/18,Area,Hawthorne Cottage National Historic Site of Canada,Lieu historique national du Canada du Cottage-Hawthorne,geo names db
+,123456789s/18,Area,Hopedale Mission National Historic Site of Canada,Lieu historique national du Canada de la Mission-de-Hopedale,geo names db
+,123456789s/18,Area,L'Anse aux Meadows National Historic Site of Canada,Lieu historique national du Canada de L'Anse aux Meadows,geo names db
+,123456789s/18,Area,Port au Choix National Historic Site of Canada,Lieu historique national du Canada de Port au Choix,geo names db
+,123456789s/18,Area,Ryan Premises National Historic Site of Canada,Lieu historique national du Canada de l'tablissement-Ryan,geo names db
+,123456789s/18,Area,Lake Superior,Lac Supérieur,geo names db
+,123456789s/18,Area,Canadian Forces Base Petawawa,Base des Forces canadiennes Petawawa,geo names db
+,123456789s/18,Area,South Saskatchewan River,Rivière Saskatchewan Sud,geo names db
+,123456789s/18,Area,Laurentian Mountains,Les Laurentides,geo names db
+,123456789s/18,Area,Ross Lake,Lac Ross,geo names db
+,123456789s/18,Area,Yukon River,Fleuve Yukon,geo names db
+,123456789s/18,Area,Ivvavik National Park of Canada,Parc national du Canada Ivvavik,geo names db
+,123456789s/18,Area,Vuntut National Park of Canada,Parc national du Canada Vuntut,geo names db
+,123456789s/18,Area,S.S. Keno National Historic Site of Canada,Lieu historique national du Canada S.S. Keno,geo names db
+,123456789s/18,Area,S.S. Klondike National Historic Site of Canada,Lieu historique national du Canada S.S. Klondike,geo names db
+,123456789s/18,Area,Dredge No. 4 National Historic Site of Canada,Lieu historique national du Canada de la Drague-Numéro-Quatre,geo names db
+,123456789s/18,Area,Signal Hill National Historic Site of Canada,Lieu historique national du Canada de Signal Hill,geo names db
+,123456789s/18,Area,Kluane National Park and Reserve of Canada,Parc national et rserve de parc national du Canada Kluane,geo names db
+,123456789s/18,Area,Dawson Historical Complex National Historic Site of Canada,Lieu historique national du Canada du Complexe-Historique-de-Dawson,geo names db
+,123456789s/18,Area,Battle of the Restigouche National Historic Site of Canada,Lieu historique national du Canada de la Bataille-de-la-Ristigouche,geo names db
+,123456789s/18,Area,Navy Island National Historic Site of Canada,Lieu historique national du Canada de l'île-Navy,geo names db
+,123456789s/18,Area,Hall Basin,Bassin Hall,geo names db
+,123456789s/18,Area,Lost Channel,Chenal Lost,geo names db
+,123456789s/18,Area,Red Bay National Historic Site of Canada,Lieu historique national du Canada de Red Bay,geo names db
+,123456789s/18,Area,Canadian Forces Base Trenton,Base des Forces canadiennes Trenton,geo names db
+,123456789s/18,Area,Lake St. Francis,Lac Saint-François,geo names db
+,123456789s/18,Area,Lake St. Clair,Lac Sainte-Claire,geo names db
+,123456789s/18,Area,Quebec,Québec,geo names db
+,123456789s/18,Area,Bay du Vin Island Protected Natural Area,Zone naturelle protégée de l'le Bay du Vin,geo names db
+,123456789s/18,Area,Black River Protected Natural Area,Zone naturelle protégée de la rivière Black,geo names db
+,123456789s/18,Area,Blue Mountain Protected Natural Area,Zone naturelle protégée de la montagne Blue,geo names db
+,123456789s/18,Area,Caledonia Gorge Protected Natural Area,Zone naturelle protégée de la gorge Caledonia,geo names db
+,123456789s/18,Area,Canaan Bog Protected Natural Area,Zone naturelle protégée des tourbières de Canaan,geo names db
+,123456789s/18,Area,Canoose Flowage Protected Natural Area,Zone naturelle protégée du réservoir Canoose,geo names db
+,123456789s/18,Area,Cranberry Lake Protected Natural Area,Zone naturelle protégée du lac Cranberry,geo names db
+,123456789s/18,Area,Freeze Lakes Protected Natural Area,Zone naturelle protégée des lacs Freeze,geo names db
+,123456789s/18,Area,Glazier Lake Protected Natural Area,Zone naturelle protégée du lac Glazier,geo names db
+,123456789s/18,Area,Gover Mountain Protected Natural Area,Zone naturelle protégée de la montagne Gover,geo names db
+,123456789s/18,Area,Grand Lake Protected Natural Area,Zone naturelle protégée du Grand Lake,geo names db
+,123456789s/18,Area,Hovey Hill Protected Natural Area,Zone naturelle protégée de la colline Hovey,geo names db
+,123456789s/18,Area,Jacquet River Gorge Protected Natural Area,Zone naturelle protégée de la gorge de la rivière Jacquet,geo names db
+,123456789s/18,Area,Kennedy Lakes Protected Natural Area,Zone naturelle protégée des lacs Kennedy,geo names db
+,123456789s/18,Area,Little Salmon River Protected Natural Area,Zone naturelle protégée de la rivière Little Salmon,geo names db
+,123456789s/18,Area,Little Tomoowa Lake Protected Natural Area,Zone naturelle protégée du lac Little Tomoowa,geo names db
+,123456789s/18,Area,Loch Alva Protected Natural Area,Zone naturelle protégée du lac Alva,geo names db
+,123456789s/18,Area,McCoy Brook Protected Natural Area,Zone naturelle protégée du ruisseau McCoy,geo names db
+,123456789s/18,Area,McManus Hill Protected Natural Area,Zone naturelle protégée de la colline McManus,geo names db
+,123456789s/18,Area,Mount Elizabeth Protected Natural Area,Zone naturelle protégée du mont Elizabeth,geo names db
+,123456789s/18,Area,Lake Athabasca,Lac Athabasca,geo names db
+,123456789s/18,Area,Athabasca River,Rivière Athabasca,geo names db
+,123456789s/18,Area,Banff Training Area,Champ de manoeuvre Banff,geo names db
+,123456789s/18,Area,Oak Mountain Protected Natural Area,Zone naturelle protégée de la montagne Oak,geo names db
+,123456789s/18,Area,Phillipstown Protected Natural Area,Zone naturelle protégée de Phillipstown,geo names db
+,123456789s/18,Area,Pointe Wolfe River Gorge Protected Natural Area,Zone naturelle protégée de la gorge de la rivière Point Wolfe,geo names db
+,123456789s/18,Area,South Kedgwick River Protected Natural Area,Zone naturelle protégée du bras sud de la rivière Kedgwick,geo names db
+,123456789s/18,Area,Spednic Lake Protected Natural Area,Zone naturelle protégée du lac Spednic,geo names db
+,123456789s/18,Area,St. Croix River Islands Protected Natural Area,Zone naturelle protégée des les de la rivière St. Croix,geo names db
+,123456789s/18,Area,Tabusintac Protected Natural Area,Zone naturelle protégée de Tabusintac,geo names db
+,123456789s/18,Area,Wilson Brook Protected Natural Area,Zone naturelle protégée du ruisseau Wilson,geo names db
+,123456789s/18,Area,Lethbridge Range,Champ de tir Lethbridge,geo names db
+,123456789s/18,Area,Carillon Barracks National Historic Site of Canada,Lieu historique national du Canada de la Caserne-de-Carillon,geo names db
+,123456789s/18,Area,Jarvis Lake Training Area,Champ de manoeuvre Jarvis Lake,geo names db
+,123456789s/18,Area,Red River,Rivière Rouge,geo names db
+,123456789s/18,Area,Suffield Training Area,Champ de manoeuvre Suffield,geo names db
+,123456789s/18,Area,Head-Smashed-In Buffalo Jump Provincial,Précipice à bisons Head-Smashed-In,geo names db
+,123456789s/18,Area,Prince Edward Island,Île-du-Prince-douard,geo names db
+,123456789s/18,Area,Banff National Park of Canada,Parc national du Canada Banff,geo names db
+,123456789s/18,Area,Elk Island National Park of Canada,Parc national du Canada Elk Island,geo names db
+,123456789s/18,Area,Jasper National Park of Canada,Parc national du Canada Jasper,geo names db
+,123456789s/18,Area,Waterton Lakes National Park of Canada,Parc national du Canada des Lacs-Waterton,geo names db
+,123456789s/18,Area,Wood Buffalo National Park of Canada,Parc national du Canada Wood Buffalo,geo names db
+,123456789s/18,Area,Abbot Pass Refuge Cabin National Historic Site of Canada,Lieu historique national du Canada du Refuge-du-Col-Abbot,geo names db
+,123456789s/18,Area,Athabasca Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Athabasca,geo names db
+,123456789s/18,Area,Banff Park Museum National Historic Site of Canada,Lieu historique national du Canada du Musée-du-Parc-Banff,geo names db
+,123456789s/18,Area,Lower Narrows,Passe Lower,geo names db
+,123456789s/18,Area,Bar U Ranch National Historic Site of Canada,Lieu historique national du Canada du Ranch-Bar U,geo names db
+,123456789s/18,Area,Cave and Basin National Historic Site of Canada,Lieu historique national du Canada Cave and Basin,geo names db
+,123456789s/18,Area,Jasper House National Historic Site of Canada,Lieu historique national du Canada Jasper House,geo names db
+,123456789s/18,Area,Jasper Park Information Centre National Historic Site of Canada,Lieu historique national du Canada du Centre-d'Accueil-du-Parc-Jasper,geo names db
+,123456789s/18,Area,Rocky Mountain House National Historic Site of Canada,Lieu historique national du Canada Rocky Mountain House,geo names db
+,123456789s/18,Area,Skoki Ski Lodge National Historic Site of Canada,Lieu historique national du Canada de l'Auberge-de-Ski-Skoki,geo names db
+,123456789s/18,Area,Sulphur Mountain Cosmic Ray Station National Historic Site of Canada,Lieu historique national du Canada de la Station-d'Étude-des-Rayons-Cosmiques-du-Mont-Sulphur,geo names db
+,123456789s/18,Area,Yellowhead Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Yellowhead,geo names db
+,123456789s/18,Area,First Oil Well in Western Canada National Historic Site,Lieu historique national du Canada du Premier-Puits-de-Pétrole-de-l'Ouest-Canadien,geo names db
+,123456789s/18,Area,Howse Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Howse,geo names db
+,123456789s/18,Area,Frog Lake National Historic Site of Canada,Lieu historique national du Canada du Lac-La Grenouille,geo names db
+,123456789s/18,Area,Queen Elizabeth Islands,Îles de la Reine-Élisabeth,geo names db
+,123456789s/18,Area,Restigouche River,Rivière Ristigouche,geo names db
+,123456789s/18,Area,St. Francis River,Rivière Saint-François,geo names db
+,123456789s/18,Area,Cartier-Brébeuf National Historic Site of Canada,Lieu historique national du Canada Cartier-Brébeuf,geo names db
