id,collection,dspace.entity.type,nrcan.division.code,dc.title[en],dc.title[fr],nrcan.division.sector[en],nrcan.division.sector[fr]
+,123456789s/19,Division,dgo,"Canada Centre for Remote Sensing, Director General's Office","Centre canadien de télédétection, Bureau du directeur général",Strategic Policy and Innovation Sector,Secteur de la politique stratégique et innovation
+,123456789s/19,Division,cgdi,Canadian Geospatial Data Infrastructure,Infrastructure canadienne de données géospatiales,Strategic Policy and Innovation Sector ,Secteur de la politique stratégique et innovation
+,123456789s/19,Division,fgp,Federal Geospatial Platform,Plateforme géospatiale fédérale,Strategic Policy and Innovation Sector ,Secteur de la politique stratégique et innovation
+,123456789s/19,Division,progeval,Program Evaluation,Évaluation du programme,Strategic Policy and Results Sector ,Secteur de la politique stratégique et des résultats
+,123456789s/19,Division,smrss,,,Surveys Mapping and Remote Sensing Sector ,"Secteur des levés, de la cartographie et de la télédétection"
+,123456789s/19,Division,do,Dominion Observatories Branch,Observatoires fédéraux du Canada,,
+,123456789s/19,Division,doi,Department of Interior,Département de l'Intérieur,,
+,123456789s/19,Division,epb,Earth Physics Branch,Direction de la physique du globe,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,smb,Surveys and Mapping Branch,Direction des levés et de la cartographie,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,Canmet,Canada Centre for Mineral and Energy Technology,Centre canadien de la technologie des minéraux et de l'énergie,Lands and Minerals Sector ,Secteur des terres et des minéraux
+,123456789s/19,Division,mds,Mineral Development Sector,Secteur de l'exploitation minérale,,
